SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+HyRTS-S_ps1c|,|STARTS+HyRTS-S_ps1c\VMS|,|VMS\FINE_STARTS+HyRTS-S_ps1c|,|FINE_STARTS+HyRTS-S_ps1c\VMS|,|VMS\EKSTAZI+HyRTS-S_ps1c|,|EKSTAZI+HyRTS-S_ps1c\VMS|,|VMS\FINE_EKSTAZI+HyRTS-S_ps1c|,|FINE_EKSTAZI+HyRTS-S_ps1c\VMS|
63c56465264cb5d5a60e1cb2635ee1432fc46bd1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
d50289d33b91e720643849ace60230ff23d5475b,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d6cd0c7658c8ae67e42887b40eb53b82ff1171a9,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ad827705db67eef6551c819bd9ea1b89eff672e0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
80b49db935d9c982b8f35f017f2a4b1dda41d009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1ff9fa55e36b9c7c12e04fed2149689a622d185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
755ee2863d73b80261dcbbdbb74f2e9cd7d5da97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
438aaeeae2128d9bf6f4e7db2236bb8d61f32f44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3
sum,0,0,0,0,14,0,12,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,14,0,13,0,7,0,7,0,19,0,19
arith_mean,0,0,0,0,1.00,0,1.00,0,1.00,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.90,0,1.90
geo_mean,0,0,0,0,1.00,0,1.00,0,1.00,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.00,0,1.71,0,1.71
